#Gene	COSMIC_Tier1(n=578)	NEJM_Neuro(n=376)	PanCancer_SMGs(n=127)
NCOR1	Tier1	NA	CancerSMG
CAMTA1	Tier1	NA	NA
TGFBR2	Tier1	NA	CancerSMG
USP24	NA	NeuroD	NA
HEXA	NA	NeuroD	NA
TCF3	Tier1	NA	NA
ARID2	Tier1	NA	NA
TCF12	Tier1	NA	NA
MLLT10	Tier1	NA	NA
MLLT11	Tier1	NA	NA
CCDC6	Tier1	NA	NA
EPAS1	Tier1	NA	NA
ACVR1B	NA	NA	CancerSMG
TBK1	NA	NeuroD	NA
MAPK8IP1	NA	NA	CancerSMG
IRF4	Tier1	NA	NA
CALML3	NA	NeuroD	NA
TTC19	NA	NeuroD	NA
CALML6	NA	NeuroD	NA
CALML5	NA	NeuroD	NA
CALML4	NA	NeuroD	NA
MAOB	NA	NeuroD	NA
MAOA	NA	NeuroD	NA
TK2	NA	NeuroD	NA
EGOT	NA	NeuroD	NA
DNAJB2	NA	NeuroD	NA
NSD1	Tier1	NA	CancerSMG
NSD3	Tier1	NA	NA
NSD2	Tier1	NA	NA
PSEN1	NA	NeuroD	NA
GAS7	Tier1	NA	NA
GARS1	NA	NeuroD	NA
CD74	Tier1	NA	NA
PDGFRB	Tier1	NA	NA
PDGFRA	Tier1	NA	CancerSMG
TPM4	Tier1	NA	NA
GNAI2	NA	NeuroD	NA
ZNF331	Tier1	NA	NA
ATM	Tier1	NA	CancerSMG
ZFHX3	Tier1	NA	NA
SCYL1	NA	NeuroD	NA
CNBP	Tier1	NA	NA
ACTA1	NA	NeuroD	NA
ATR	Tier1	NA	CancerSMG
FANCD2	Tier1	NA	NA
MALAT1	NA	NA	CancerSMG
BRIP1	Tier1	NA	NA
FLT4	Tier1	NA	NA
FLT3	Tier1	NA	CancerSMG
MLF1	Tier1	NA	NA
SET	Tier1	NA	NA
ZBTB16	Tier1	NA	NA
POLD1	Tier1	NA	NA
MECOM	Tier1	NA	CancerSMG
PSEN2	NA	NeuroD	NA
DNAJB1	Tier1	NA	NA
MYH9	Tier1	NA	NA
TPM3	Tier1	NA	NA
GNB2	NA	NeuroD	NA
FANCG	Tier1	NA	NA
FANCF	Tier1	NA	NA
FANCE	Tier1	NA	NA
FANCC	Tier1	NA	NA
FANCA	Tier1	NA	NA
GRIA3	NA	NeuroD	NA
HPD	NA	NeuroD	NA
FANCI	NA	NeuroD	NA
FBXW7	Tier1	NA	CancerSMG
ARID5B	NA	NA	CancerSMG
ACVR2A	Tier1	NA	CancerSMG
TET1	Tier1	NA	NA
CARS	Tier1	NA	NA
TET2	Tier1	NA	CancerSMG
